symbol,company_name,series,isin_code,sector
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,INE121A01024,Non Banking Financial Company (NBFC)
HDFCAMC,HDFC Asset Management Company Limited,EQ,INE127D01025,Asset Management Company
PFC,Power Finance Corporation Limited,EQ,INE134E01011,Financial Institution
CGPOWER,CG Power and Industrial Solutions Limited,EQ,INE067A01029,Heavy Electrical Equipment
PAYTM,One 97 Communications Limited,EQ,INE982J01020,Financial Technology (Fintech)
TATACOMM,Tata Communications Limited,EQ,INE151A01013,Telecom - Cellular & Fixed line services
IREDA,Indian Renewable Energy Development Agency Limited,EQ,INE202E01016,Financial Institution
NYKAA,FSN E-Commerce Ventures Limited,EQ,INE388Y01029,E-Retail/ E-Commerce
ASIANPAINT,Asian Paints Limited,EQ,INE021A01026,Paints
SIEMENS,Siemens Limited,EQ,INE003A01024,Heavy Electrical Equipment
RVNL,Rail Vikas Nigam Limited,EQ,INE415G01027,Civil Construction
UNIONBANK,Union Bank of India,EQ,INE692A01016,Public Sector Bank
KPITTECH,KPIT Technologies Limited,EQ,INE04I401011,Computers - Software & Consulting
LGEINDIA,LG Electronics India Limited,EQ,INE324D01010,Household Appliances
MAXHEALTH,Max Healthcare Institute Limited,EQ,INE027H01010,Hospital
360ONE,360 ONE WAM LIMITED,EQ,INE466L01038,Stockbroking & Allied
MPHASIS,MphasiS Limited,EQ,INE356A01018,Computers - Software & Consulting
MARICO,Marico Limited,EQ,INE196A01026,Edible Oil
PAGEIND,Page Industries Limited,EQ,INE761H01022,Garments & Apparels
NAUKRI,Info Edge (India) Limited,EQ,INE663F01032,Internet & Catalogue Retail
ICICIAMC,ICICI Prudential Asset Management Company Limited,EQ,INE346A01027,Asset Management Company
SBILIFE,SBI Life Insurance Company Limited,EQ,INE123W01016,Life Insurance
MAHABANK,Bank of Maharashtra,EQ,INE457A01014,Public Sector Bank
APARINDS,Apar Industries Limited,EQ,INE372A01015,Other Electrical Equipment
BOSCHLTD,Bosch Limited,EQ,INE323A01026,Auto Components & Equipments
EXIDEIND,Exide Industries Limited,EQ,INE302A01020,Auto Components & Equipments
BHARATFORG,Bharat Forge Limited,EQ,INE465A01025,Auto Components & Equipments
INDUSINDBK,IndusInd Bank Limited,EQ,INE095A01012,Private Sector Bank
PIIND,PI Industries Limited,EQ,INE603J01030,Pesticides & Agrochemicals
LTF,L&T Finance Limited,EQ,INE498L01015,Investment Company
LODHA,Lodha Developers Limited,EQ,INE670K01029,Residential Commercial Projects
RECLTD,REC Limited,EQ,INE020B01018,Financial Institution
MFSL,Max Financial Services Limited,EQ,INE180A01020,Life Insurance
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,INE298J01013,Asset Management Company
FORTIS,Fortis Healthcare Limited,EQ,INE061F01013,Hospital
ESCORTS,Escorts Kubota Limited,EQ,INE042A01014,Tractors
NHPC,NHPC Limited,EQ,INE848E01016,Power Generation
ASTRAL,Astral Limited,EQ,INE006I01046,Plastic Products - Industrial
HAVELLS,Havells India Limited,EQ,INE176B01034,Consumer Electronics
ITCHOTELS,ITC Hotels Limited,EQ,INE379A01028,Hotels & Resorts
BRITANNIA,Britannia Industries Limited,EQ,INE216A01030,Packaged Foods
BLUESTARCO,Blue Star Limited,EQ,INE472A01039,Household Appliances
DMART,Avenue Supermarts Limited,EQ,INE192R01011,Diversified Retail
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,INE935A01035,Pharmaceuticals
THERMAX,Thermax Limited,EQ,INE152A01029,Heavy Electrical Equipment
JUBLFOOD,Jubilant Foodworks Limited,EQ,INE797F01020,Restaurants
GODREJPROP,Godrej Properties Limited,EQ,INE484J01027,Residential Commercial Projects
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,INE776C01039,Airport & Airport services
PETRONET,Petronet LNG Limited,EQ,INE347G01014,LPG/CNG/PNG/LNG Supplier
PREMIERENE,Premier Energies Limited,EQ,INE0BS701011,Other Electrical Equipment
LLOYDSME,Lloyds Metals And Energy Limited,EQ,INE281B01032,Industrial Minerals
