symbol,date,open,high,low,close,adj_close,volume
VEDL,2024-05-03 00:00:00,415.0,420.0,404.4,415.65,415.65,"1,43,24,148"
VEDL,2024-05-02 00:00:00,400.0,413.9,397.3,410.8,410.8,"1,27,88,526"
ADANIPOWER,2024-05-03 00:00:00,610.0,615.05,596.15,604.7,604.7,"31,25,576"
ADANIPOWER,2024-05-02 00:00:00,618.0,624.6,604.7,608.1,608.1,"58,88,418"
IDEA,2024-05-03 00:00:00,13.3,13.5,13.0,13.2,13.2,"84,41,84,176"
IDEA,2024-05-02 00:00:00,13.25,13.5,13.1,13.2,13.2,"80,85,43,713"
BHEL,2024-05-03 00:00:00,296.0,318.3,294.1,305.0,305.0,"13,07,58,171"
BHEL,2024-05-02 00:00:00,283.1,300.25,282.15,292.7,292.7,"5,23,94,156"
HINDZINC,2024-05-03 00:00:00,438.2,478.4,438.2,470.1,470.1,"1,03,96,501"
HINDZINC,2024-05-02 00:00:00,428.8,437.35,424.2,432.1,432.1,"22,49,997"
APOLLOTYRE,2024-05-03 00:00:00,505.0,510.9,495.1,502.55,502.55,"29,47,783"
APOLLOTYRE,2024-05-02 00:00:00,513.85,518.8,510.2,513.35,513.35,"14,86,206"
CANBK,2024-05-03 00:00:00,632.9,632.9,619.0,625.65,625.65,"39,76,973"
CANBK,2024-05-02 00:00:00,623.85,631.0,623.05,628.6,628.6,"43,21,216"
SAIL,2024-05-03 00:00:00,167.1,170.95,164.6,167.95,167.95,"7,17,34,933"
SAIL,2024-05-02 00:00:00,165.4,168.25,163.6,165.45,165.45,"4,42,64,557"
COALINDIA,2024-05-03 00:00:00,457.9,475.8,449.4,474.6,474.6,"5,10,71,947"
COALINDIA,2024-05-02 00:00:00,457.55,459.55,449.4,453.9,453.9,"1,49,80,896"
NLCINDIA,2024-05-03 00:00:00,244.5,250.7,235.1,238.65,238.65,"63,58,581"
NLCINDIA,2024-05-02 00:00:00,244.2,247.95,240.8,242.1,242.1,"55,77,154"
ETERNAL,2024-05-03 00:00:00,196.8,200.35,193.1,197.25,197.25,"3,78,82,274"
ETERNAL,2024-05-02 00:00:00,193.6,195.95,192.75,195.45,195.45,"2,73,91,448"
ASHOKLEY,2024-05-03 00:00:00,203.75,205.1,200.3,202.3,202.3,"2,61,07,306"
