symbol,date,open,high,low,close,adj_close,volume
VEDL,2019-05-31 00:00:00,164.85,165.5,158.5,160.55,160.55,"1,33,43,850"
VEDL,2019-05-30 00:00:00,165.25,166.4,162.5,164.0,164.0,"80,01,993"
VEDL,2019-05-29 00:00:00,168.5,168.75,163.65,165.85,165.85,"90,21,985"
VEDL,2019-05-28 00:00:00,166.5,171.7,165.75,169.55,169.55,"5,73,84,687"
VEDL,2019-05-27 00:00:00,164.45,167.8,163.0,166.5,166.5,"65,46,389"
ADANIPOWER,2019-05-31 00:00:00,51.75,53.3,49.1,50.35,50.35,"2,69,60,956"
ADANIPOWER,2019-05-30 00:00:00,49.95,52.8,49.35,51.55,51.55,"4,46,09,030"
ADANIPOWER,2019-05-29 00:00:00,49.0,49.7,47.05,48.35,48.35,"1,50,57,913"
ADANIPOWER,2019-05-28 00:00:00,49.7,50.35,48.5,49.0,49.0,"1,75,98,192"
ADANIPOWER,2019-05-27 00:00:00,47.4,49.7,46.55,49.1,49.1,"2,29,98,049"
IDEA,2019-05-31 00:00:00,13.6,14.05,13.45,13.95,13.95,"15,11,71,664"
IDEA,2019-05-30 00:00:00,13.2,13.65,12.95,13.3,13.3,"27,35,42,405"
IDEA,2019-05-29 00:00:00,13.7,13.75,13.15,13.2,13.2,"5,07,35,753"
IDEA,2019-05-28 00:00:00,13.05,13.8,13.0,13.65,13.65,"17,00,49,972"
IDEA,2019-05-27 00:00:00,12.65,13.25,12.6,13.05,13.05,"9,95,40,754"
BHEL,2019-05-31 00:00:00,71.85,71.9,68.85,70.2,70.2,"1,18,24,619"
BHEL,2019-05-30 00:00:00,71.2,72.15,70.6,71.65,71.65,"98,35,370"
BHEL,2019-05-29 00:00:00,72.4,72.4,70.45,70.95,70.95,"80,06,184"
BHEL,2019-05-28 00:00:00,73.5,73.7,71.0,72.6,72.6,"2,17,29,849"
BHEL,2019-05-27 00:00:00,69.1,73.25,68.65,72.7,72.7,"3,58,42,146"
HINDZINC,2019-05-31 00:00:00,250.8,250.85,244.55,245.8,245.8,"8,80,270"
HINDZINC,2019-05-30 00:00:00,248.95,250.9,246.25,249.85,249.85,"11,06,908"
HINDZINC,2019-05-29 00:00:00,251.0,251.4,248.2,248.95,248.95,"4,94,774"
HINDZINC,2019-05-28 00:00:00,254.15,254.9,250.6,251.4,251.4,"11,21,681"
HINDZINC,2019-05-27 00:00:00,253.2,255.75,252.3,254.15,254.15,"7,23,141"
