symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2022-08-11 18:30:00,709.85,712.5,706.65,709.7,709.7,4540159
BHARTIARTL,2022-08-10 18:30:00,718.8,719.4,705.7,709.8,709.8,7142902
BHARTIARTL,2022-08-09 18:30:00,713.9,718.0,706.0,715.25,715.25,12201239
SBIN,2022-08-11 18:30:00,525.7,531.8,525.15,530.7,530.7,12154012
SBIN,2022-08-10 18:30:00,520.0,526.0,517.2,524.75,524.75,13862195
SBIN,2022-08-09 18:30:00,521.55,523.5,513.4,514.7,514.7,16904151
ADANIENT,2022-08-11 18:30:00,2840.0,2871.15,2834.05,2864.55,2864.55,843025
ADANIENT,2022-08-10 18:30:00,2841.0,2848.4,2815.1,2834.05,2834.05,978616
ADANIENT,2022-08-09 18:30:00,2801.75,2834.9,2781.55,2827.2,2827.2,1304663
TMPV,2022-08-11 18:30:00,475.75,481.45,470.0,477.55,477.55,13482890
TMPV,2022-08-10 18:30:00,482.55,485.0,475.6,476.65,476.65,12777503
TMPV,2022-08-09 18:30:00,470.0,477.2,463.35,475.55,475.55,13360759
RELIANCE,2022-08-11 18:30:00,2590.3,2641.35,2582.2,2633.0,2633.0,5838244
RELIANCE,2022-08-10 18:30:00,2603.1,2609.9,2580.2,2591.1,2591.1,3783480
RELIANCE,2022-08-09 18:30:00,2576.9,2589.9,2557.05,2582.5,2582.5,4949442
MUTHOOTFIN,2022-08-11 18:30:00,1172.85,1213.95,1163.35,1187.4,1187.4,1570362
MUTHOOTFIN,2022-08-10 18:30:00,1140.0,1179.0,1128.25,1172.35,1172.35,1254427
MUTHOOTFIN,2022-08-09 18:30:00,1133.95,1133.95,1112.15,1127.25,1127.25,503935
BSE,2022-08-11 18:30:00,651.6,661.7,647.7,655.45,655.45,1001288
BSE,2022-08-10 18:30:00,654.0,654.0,644.1,648.85,648.85,597927
BSE,2022-08-09 18:30:00,649.0,653.8,642.05,644.7,644.7,708980
ADANIGREEN,2022-08-11 18:30:00,2170.0,2195.0,2152.15,2176.0,2176.0,519745
ADANIGREEN,2022-08-10 18:30:00,2180.0,2194.85,2155.05,2164.9,2164.9,782241
ADANIGREEN,2022-08-09 18:30:00,2184.9,2198.0,2151.0,2164.95,2164.95,907527
HDFCBANK,2022-08-11 18:30:00,1485.0,1489.3,1475.95,1485.15,1485.15,4425185
HDFCBANK,2022-08-10 18:30:00,1486.5,1491.0,1474.55,1485.7,1485.7,9150883
HDFCBANK,2022-08-09 18:30:00,1461.35,1471.5,1449.05,1466.3,1466.3,8676551
MCX,2022-08-11 18:30:00,1320.0,1326.45,1312.25,1318.85,1318.85,264964
MCX,2022-08-10 18:30:00,1286.0,1321.75,1283.0,1314.6,1314.6,622423
MCX,2022-08-09 18:30:00,1285.1,1292.1,1276.1,1279.9,1279.9,168211
INFY,2022-08-11 18:30:00,1613.3,1614.0,1590.15,1594.1,1594.1,3562286
INFY,2022-08-10 18:30:00,1630.0,1631.35,1616.0,1619.95,1619.95,3462090
INFY,2022-08-09 18:30:00,1621.2,1621.2,1588.1,1602.45,1602.45,4423829
ICICIBANK,2022-08-11 18:30:00,863.95,877.25,858.5,874.4,874.4,10792853
ICICIBANK,2022-08-10 18:30:00,860.05,866.5,858.1,859.7,859.7,22787391
ICICIBANK,2022-08-09 18:30:00,842.15,853.0,842.15,848.75,848.75,23658553
