symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2020-11-13 18:30:00,487.0,487.0,479.0,481.5,481.5,3940508
BHARTIARTL,2020-11-12 18:30:00,477.0,478.0,470.0,475.75,475.75,8272841
BHARTIARTL,2020-11-11 18:30:00,476.85,483.2,475.05,479.85,479.85,14512799
BHARTIARTL,2020-11-10 18:30:00,467.95,481.35,464.05,478.6,478.6,15737416
BHARTIARTL,2020-11-09 18:30:00,474.0,474.15,465.0,466.4,466.4,9620279
SBIN,2020-11-13 18:30:00,232.0,232.9,227.75,229.65,229.65,7753219
SBIN,2020-11-13 18:30:00,10849.75,10860.0,10842.0,10851.96,10851.96,222
SBIN,2020-11-12 18:30:00,11400.0,11400.0,10751.0,10810.0,10810.0,13
SBIN,2020-11-12 18:30:00,225.0,230.65,220.1,229.45,229.45,70676525
SBIN,2020-11-12 18:30:00,10835.0,10855.75,10835.0,10846.52,10846.52,523
SBIN,2020-11-11 18:30:00,10850.0,10850.0,10820.0,10827.37,10827.37,571
SBIN,2020-11-11 18:30:00,10750.0,10750.0,10750.0,10750.0,10750.0,1
SBIN,2020-11-11 18:30:00,233.2,233.35,225.65,226.8,226.8,58859905
SBIN,2020-11-10 18:30:00,232.75,239.35,227.75,234.2,234.2,107094861
SBIN,2020-11-10 18:30:00,10865.0,10865.0,10751.0,10850.7,10850.7,282
SBIN,2020-11-09 18:30:00,223.1,235.0,223.0,231.7,231.7,135294550
SBIN,2020-11-09 18:30:00,10750.0,10750.0,10750.0,10750.0,10750.0,8
SBIN,2020-11-09 18:30:00,10861.0,10869.0,10850.0,10857.93,10857.93,709
ADANIENT,2020-11-13 18:30:00,369.8,372.85,369.5,371.25,371.25,620753
ADANIENT,2020-11-12 18:30:00,364.0,371.65,362.05,368.6,368.6,2786714
ADANIENT,2020-11-11 18:30:00,358.2,369.5,358.0,365.55,365.55,4199715
ADANIENT,2020-11-10 18:30:00,359.2,362.7,354.05,360.1,360.1,2869576
ADANIENT,2020-11-09 18:30:00,358.1,361.75,353.2,359.5,359.5,3590100
TMPV,2020-11-13 18:30:00,148.7,150.8,148.0,148.85,148.85,11749453
TMPV,2020-11-12 18:30:00,150.0,150.0,145.35,146.35,146.35,32566537
TMPV,2020-11-11 18:30:00,150.95,153.85,150.0,151.2,151.2,56145517
TMPV,2020-11-10 18:30:00,146.5,151.5,145.65,150.95,150.95,78583629
TMPV,2020-11-09 18:30:00,144.05,146.7,142.75,146.0,146.0,68794369
RELIANCE,2020-11-13 18:30:00,2014.9,2015.3,1995.35,2002.3,2002.3,2411900
RELIANCE,2020-11-12 18:30:00,1982.0,2036.65,1981.75,1996.4,1996.4,20946864
RELIANCE,2020-11-11 18:30:00,1981.0,2008.45,1965.0,1980.0,1980.0,18481466
RELIANCE,2020-11-10 18:30:00,2089.0,2095.0,1978.1,1997.2,1997.2,26178477
RELIANCE,2020-11-09 18:30:00,2077.0,2090.0,2041.2,2084.55,2084.55,17045147
MUTHOOTFIN,2020-11-13 18:30:00,1198.0,1202.0,1181.0,1187.7,1187.7,287025
MUTHOOTFIN,2020-11-12 18:30:00,1176.0,1192.35,1162.1,1188.85,1188.85,2041341
MUTHOOTFIN,2020-11-11 18:30:00,1172.0,1181.45,1154.3,1169.25,1169.25,2137832
MUTHOOTFIN,2020-11-10 18:30:00,1214.9,1214.9,1141.0,1166.65,1166.65,4320318
MUTHOOTFIN,2020-11-09 18:30:00,1270.0,1270.0,1162.2,1185.15,1185.15,5712955
BSE,2020-11-13 18:30:00,510.0,546.0,505.3,523.65,523.65,455660
BSE,2020-11-12 18:30:00,497.2,509.8,493.65,507.1,507.1,220562
BSE,2020-11-11 18:30:00,494.5,501.95,490.6,496.15,496.15,135274
BSE,2020-11-10 18:30:00,497.2,500.0,489.0,493.05,493.05,127003
BSE,2020-11-09 18:30:00,505.0,505.0,491.65,497.2,497.2,143798
ADANIGREEN,2020-11-13 18:30:00,1018.0,1023.6,990.05,1008.6,1008.6,578986
