symbol,date,open,high,low,close,adj_close,volume
VEDL,2019-05-24 00:00:00,159.0,164.6,155.55,163.9,163.9,"1,04,56,712"
VEDL,2019-05-23 00:00:00,168.45,168.45,156.0,157.35,157.35,"1,42,49,085"
VEDL,2019-05-22 00:00:00,165.45,167.9,164.7,166.3,166.3,"65,97,051"
VEDL,2019-05-21 00:00:00,168.4,168.75,163.8,165.45,165.45,"73,94,826"
VEDL,2019-05-20 00:00:00,165.0,168.0,164.0,167.1,167.1,"75,40,373"
ADANIPOWER,2019-05-24 00:00:00,46.8,47.3,45.05,46.8,46.8,"1,93,65,940"
ADANIPOWER,2019-05-23 00:00:00,48.85,51.0,45.6,46.65,46.65,"5,02,31,342"
ADANIPOWER,2019-05-22 00:00:00,46.8,47.0,44.9,46.7,46.7,"1,92,58,903"
ADANIPOWER,2019-05-21 00:00:00,47.3,48.1,44.8,46.0,46.0,"2,56,14,931"
ADANIPOWER,2019-05-20 00:00:00,44.7,47.55,42.65,46.75,46.75,"4,05,42,988"
IDEA,2019-05-24 00:00:00,12.85,13.25,12.55,12.85,12.85,"9,15,77,582"
IDEA,2019-05-23 00:00:00,12.3,13.0,12.25,12.75,12.75,"13,26,85,065"
IDEA,2019-05-22 00:00:00,11.85,12.3,11.5,12.15,12.15,"13,34,99,642"
IDEA,2019-05-21 00:00:00,12.6,12.65,11.7,11.8,11.8,"9,43,10,446"
IDEA,2019-05-20 00:00:00,12.25,13.0,11.8,12.55,12.55,"13,77,07,027"
BHEL,2019-05-24 00:00:00,66.8,69.45,66.75,69.0,69.0,"1,00,37,711"
BHEL,2019-05-23 00:00:00,67.2,70.25,66.0,66.55,66.55,"2,23,90,610"
BHEL,2019-05-22 00:00:00,63.6,65.6,62.15,65.25,65.25,"1,27,14,321"
BHEL,2019-05-21 00:00:00,65.95,66.15,62.85,63.25,63.25,"1,00,96,863"
BHEL,2019-05-20 00:00:00,64.5,66.75,63.95,65.95,65.95,"1,50,63,392"
HINDZINC,2019-05-24 00:00:00,248.5,253.75,245.0,252.8,252.8,"9,18,932"
HINDZINC,2019-05-23 00:00:00,254.7,254.7,248.0,248.6,248.6,"7,84,800"
