symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2017-09-28 18:30:00,381.95,391.85,379.15,389.45,389.45,4810172
BHARTIARTL,2017-09-27 18:30:00,387.5,388.9,377.5,382.05,382.05,14570752
BHARTIARTL,2017-09-26 18:30:00,387.95,390.0,384.3,385.95,385.95,2446169
BHARTIARTL,2017-09-25 18:30:00,387.25,392.4,383.05,387.35,387.35,3788116
SBIN,2017-09-28 18:30:00,254.7,255.5,253.05,253.85,253.85,10073641
SBIN,2017-09-28 18:30:00,11160.0,11175.0,11149.5,11175.0,11175.0,86
SBIN,2017-09-28 18:30:00,11150.0,11150.0,11150.0,11150.0,11150.0,11
SBIN,2017-09-28 18:30:00,11310.0,11329.0,11280.25,11317.14,11317.14,45
SBIN,2017-09-27 18:30:00,250.25,253.55,249.5,252.55,252.55,17776419
SBIN,2017-09-27 18:30:00,11000.0,11000.0,11000.0,11000.0,11000.0,1
SBIN,2017-09-27 18:30:00,11292.0,11319.99,11280.0,11295.29,11295.29,313
SBIN,2017-09-26 18:30:00,11287.55,11292.0,11277.0,11285.9,11285.9,140
SBIN,2017-09-26 18:30:00,259.9,259.9,249.5,250.4,250.4,17080769
SBIN,2017-09-26 18:30:00,11160.0,11160.0,11160.0,11160.0,11160.0,1
SBIN,2017-09-25 18:30:00,11289.99,11294.0,11280.1,11290.26,11290.26,97
SBIN,2017-09-25 18:30:00,258.5,259.65,256.0,258.25,258.25,11728345
ADANIENT,2017-09-28 18:30:00,116.0,117.7,115.45,116.3,116.3,2668774
ADANIENT,2017-09-27 18:30:00,114.8,116.75,113.4,115.3,115.3,3251061
ADANIENT,2017-09-26 18:30:00,119.5,120.8,113.15,114.25,114.25,3698588
ADANIENT,2017-09-25 18:30:00,116.6,120.2,114.8,118.6,118.6,4273887
TMPV,2017-09-28 18:30:00,401.4,405.0,397.4,401.5,401.5,7520906
TMPV,2017-09-27 18:30:00,406.95,406.95,399.0,401.4,401.4,4850748
TMPV,2017-09-26 18:30:00,413.5,414.25,402.0,404.9,404.9,4727360
TMPV,2017-09-25 18:30:00,409.4,413.9,403.3,411.25,411.25,5077291
RELIANCE,2017-09-28 18:30:00,791.75,793.4,779.1,780.9,780.9,7619230
RELIANCE,2017-09-27 18:30:00,799.65,802.9,780.2,786.45,786.45,13508179
RELIANCE,2017-09-26 18:30:00,825.6,825.7,795.5,799.15,799.15,8434196
RELIANCE,2017-09-25 18:30:00,821.7,827.05,812.2,820.1,820.1,4829571
MUTHOOTFIN,2017-09-28 18:30:00,1805.0,1805.0,1805.0,1805.0,1805.0,10
MUTHOOTFIN,2017-09-28 18:30:00,462.5,477.4,460.0,474.9,474.9,914684
MUTHOOTFIN,2017-09-27 18:30:00,1055.0,1055.0,1055.0,1055.0,1055.0,10
