symbol,date,open,high,low,close,adj_close,volume
VEDL,2025-05-12 00:00:00,419.95,438.25,417.85,436.05,436.05,"1,68,18,909"
VEDL,2025-05-16 00:00:00,443.8,444.7,439.7,441.2,441.2,"55,25,659"
VEDL,2025-05-15 00:00:00,444.7,448.4,440.35,443.8,443.8,"71,08,289"
VEDL,2025-05-14 00:00:00,438.5,447.1,435.7,442.7,442.7,"1,13,85,432"
VEDL,2025-05-13 00:00:00,436.0,440.3,432.55,435.4,435.4,"78,06,161"
ADANIPOWER,2025-05-12 00:00:00,544.95,552.85,541.5,546.55,546.55,"64,09,870"
ADANIPOWER,2025-05-16 00:00:00,545.0,569.8,543.1,565.5,565.5,"99,05,122"
ADANIPOWER,2025-05-15 00:00:00,542.4,546.3,537.3,543.1,543.1,"35,50,325"
ADANIPOWER,2025-05-14 00:00:00,542.7,543.55,535.8,539.8,539.8,"35,94,120"
ADANIPOWER,2025-05-13 00:00:00,546.55,547.3,536.0,538.75,538.75,"55,57,722"
IDEA,2025-05-12 00:00:00,7.06,7.1,6.87,7.07,7.07,"41,42,80,475"
IDEA,2025-05-16 00:00:00,7.32,7.55,7.22,7.37,7.37,"68,06,91,068"
IDEA,2025-05-15 00:00:00,7.01,7.27,6.99,7.23,7.23,"72,51,45,747"
IDEA,2025-05-14 00:00:00,6.96,7.06,6.95,6.98,6.98,"37,57,50,045"
IDEA,2025-05-13 00:00:00,7.01,7.07,6.93,6.94,6.94,"36,85,89,161"
BHEL,2025-05-12 00:00:00,224.0,233.5,224.0,232.95,232.95,"1,49,53,189"
BHEL,2025-05-16 00:00:00,247.8,259.99,244.16,250.35,250.35,"5,02,39,674"
BHEL,2025-05-15 00:00:00,240.0,247.67,237.59,245.68,245.68,"1,61,38,842"
BHEL,2025-05-14 00:00:00,239.69,240.76,234.34,239.36,239.36,"2,12,13,251"
BHEL,2025-05-13 00:00:00,233.8,243.2,233.0,238.38,238.38,"2,61,79,873"
HINDZINC,2025-05-12 00:00:00,420.0,436.4,420.0,434.95,434.95,"27,66,591"
HINDZINC,2025-05-16 00:00:00,442.9,445.0,439.45,442.3,442.3,"14,16,394"
HINDZINC,2025-05-15 00:00:00,440.0,444.25,437.5,440.75,440.75,"20,87,164"
HINDZINC,2025-05-14 00:00:00,430.85,440.7,429.8,438.95,438.95,"24,32,511"
HINDZINC,2025-05-13 00:00:00,435.0,436.1,427.0,428.9,428.9,"14,85,369"
APOLLOTYRE,2025-05-12 00:00:00,475.0,483.0,472.0,481.0,481.0,"15,21,186"
APOLLOTYRE,2025-05-16 00:00:00,487.0,509.8,483.5,494.25,494.25,"45,76,424"
APOLLOTYRE,2025-05-15 00:00:00,474.0,490.85,474.0,480.45,480.45,"38,30,238"
APOLLOTYRE,2025-05-14 00:00:00,473.9,478.3,469.75,475.35,475.35,"12,58,392"
APOLLOTYRE,2025-05-13 00:00:00,483.4,484.0,467.65,472.4,472.4,"18,04,302"
CANBK,2025-05-12 00:00:00,100.5,101.45,99.85,100.86,100.86,"4,93,91,352"
CANBK,2025-05-16 00:00:00,105.5,108.59,105.5,107.76,107.76,"3,31,64,805"
CANBK,2025-05-15 00:00:00,106.1,106.25,104.42,105.16,105.16,"2,25,77,353"
CANBK,2025-05-14 00:00:00,105.6,106.57,104.54,105.67,105.67,"4,67,44,208"
CANBK,2025-05-13 00:00:00,101.2,105.57,100.82,104.78,104.78,"5,95,18,073"
SAIL,2025-05-12 00:00:00,112.77,118.45,112.4,118.24,118.24,"2,54,19,079"
SAIL,2025-05-16 00:00:00,122.6,123.54,121.56,122.48,122.48,"1,24,76,432"
SAIL,2025-05-15 00:00:00,122.99,123.65,121.66,122.7,122.7,"1,58,60,870"
