symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2023-12-17 18:30:00,995.0,998.8,982.15,990.25,990.25,5750263
BHARTIARTL,2023-12-14 18:30:00,999.65,1010.85,988.25,992.55,992.55,10119597
BHARTIARTL,2023-12-13 18:30:00,1006.0,1011.2,999.15,1005.2,1005.2,6541673
BHARTIARTL,2023-12-12 18:30:00,993.2,1002.0,991.5,999.9,999.9,4153219
BHARTIARTL,2023-12-11 18:30:00,999.25,1000.85,987.0,995.25,995.25,7119331
SBIN,2023-12-17 18:30:00,646.65,655.65,642.4,648.5,648.5,16221796
SBIN,2023-12-14 18:30:00,628.0,650.0,619.85,648.25,648.25,29813572
SBIN,2023-12-13 18:30:00,626.0,627.75,622.4,623.65,623.65,15813797
SBIN,2023-12-12 18:30:00,614.45,620.5,611.65,619.85,619.85,13977914
SBIN,2023-12-11 18:30:00,617.0,617.95,610.8,612.4,612.4,14494836
ADANIENT,2023-12-17 18:30:00,2993.95,3027.75,2961.1,2980.6,2980.6,2315922
ADANIENT,2023-12-14 18:30:00,2912.05,3000.0,2893.9,2991.8,2991.8,4921484
ADANIENT,2023-12-13 18:30:00,2900.95,2932.95,2887.0,2894.05,2894.05,3224681
ADANIENT,2023-12-12 18:30:00,2860.0,2899.1,2805.0,2875.05,2875.05,2805832
ADANIENT,2023-12-11 18:30:00,2869.1,2895.95,2840.55,2857.65,2857.65,2017772
TMPV,2023-12-17 18:30:00,732.9,734.75,728.1,730.8,730.8,5450397
TMPV,2023-12-14 18:30:00,723.9,734.0,721.25,732.4,732.4,12082079
TMPV,2023-12-13 18:30:00,724.0,724.7,718.6,719.75,719.75,6732352
TMPV,2023-12-12 18:30:00,716.0,721.45,713.5,720.3,720.3,5807736
TMPV,2023-12-11 18:30:00,724.8,724.8,713.0,715.4,715.4,6461539
RELIANCE,2023-12-17 18:30:00,2495.6,2534.9,2490.95,2521.0,2521.0,7082594
RELIANCE,2023-12-14 18:30:00,2478.0,2500.0,2470.05,2495.6,2495.6,7966076
RELIANCE,2023-12-13 18:30:00,2454.0,2474.95,2442.65,2464.15,2464.15,8486177
RELIANCE,2023-12-12 18:30:00,2422.0,2438.35,2406.3,2433.95,2433.95,5015591
RELIANCE,2023-12-11 18:30:00,2460.0,2464.95,2420.15,2424.05,2424.05,4598562
MUTHOOTFIN,2023-12-17 18:30:00,1487.0,1492.75,1474.0,1478.6,1478.6,184684
MUTHOOTFIN,2023-12-14 18:30:00,1488.05,1497.9,1481.0,1488.0,1488.0,345092
MUTHOOTFIN,2023-12-13 18:30:00,1473.0,1507.95,1466.1,1481.0,1481.0,690315
MUTHOOTFIN,2023-12-12 18:30:00,1461.5,1471.0,1438.3,1467.1,1467.1,509346
MUTHOOTFIN,2023-12-11 18:30:00,1445.0,1469.2,1445.0,1453.5,1453.5,460685
BSE,2023-12-17 18:30:00,2327.7,2392.7,2275.1,2371.75,2371.75,981278
BSE,2023-12-14 18:30:00,2363.85,2372.0,2310.0,2313.7,2313.7,595661
BSE,2023-12-13 18:30:00,2386.0,2418.0,2340.1,2350.75,2350.75,678157
BSE,2023-12-12 18:30:00,2316.9,2425.0,2316.9,2364.7,2364.7,1417126
BSE,2023-12-11 18:30:00,2366.5,2383.0,2300.0,2306.3,2306.3,814780
ADANIGREEN,2023-12-17 18:30:00,1518.95,1544.85,1500.25,1524.65,1524.65,1077675
ADANIGREEN,2023-12-14 18:30:00,1527.65,1541.0,1501.4,1526.65,1526.65,1698622
ADANIGREEN,2023-12-13 18:30:00,1435.95,1535.0,1435.95,1508.3,1508.3,3437936
ADANIGREEN,2023-12-12 18:30:00,1459.0,1459.95,1375.0,1427.7,1427.7,2826807
ADANIGREEN,2023-12-11 18:30:00,1532.85,1539.9,1453.5,1463.9,1463.9,2007520
HDFCBANK,2023-12-17 18:30:00,1660.7,1664.7,1650.95,1655.7,1655.7,9007377
HDFCBANK,2023-12-14 18:30:00,1650.0,1668.0,1646.6,1656.55,1656.55,69418565
HDFCBANK,2023-12-13 18:30:00,1646.0,1658.95,1645.0,1650.15,1650.15,17586183
HDFCBANK,2023-12-12 18:30:00,1632.45,1636.0,1615.1,1630.9,1630.9,14673457
HDFCBANK,2023-12-11 18:30:00,1654.2,1656.25,1631.85,1634.6,1634.6,18290738
MCX,2023-12-17 18:30:00,3280.0,3281.4,3212.0,3226.1,3226.1,409585
MCX,2023-12-14 18:30:00,3284.95,3290.0,3246.25,3273.2,3273.2,478954
MCX,2023-12-13 18:30:00,3290.0,3311.0,3232.0,3254.05,3254.05,827543
MCX,2023-12-12 18:30:00,3248.0,3277.9,3193.6,3266.4,3266.4,618088
MCX,2023-12-11 18:30:00,3269.0,3308.0,3211.0,3227.85,3227.85,775764
INFY,2023-12-17 18:30:00,1567.95,1593.0,1560.3,1564.35,1564.35,6467243
INFY,2023-12-14 18:30:00,1523.05,1588.55,1521.0,1578.4,1578.4,18395389
INFY,2023-12-13 18:30:00,1463.4,1511.0,1461.35,1501.45,1501.45,12489858
INFY,2023-12-12 18:30:00,1476.0,1476.05,1433.15,1449.0,1449.0,8549258
INFY,2023-12-11 18:30:00,1477.5,1490.0,1467.65,1476.05,1476.05,6103494
ICICIBANK,2023-12-17 18:30:00,1029.95,1029.95,1018.0,1021.45,1021.45,8592711
