symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2026-01-22 18:30:00,2009.0,2011.7,1980.1,1984.7,1984.7,4340925
BHARTIARTL,2026-01-21 18:30:00,2008.8,2018.9,1990.0,2002.2,2002.2,6722567
BHARTIARTL,2026-01-20 18:30:00,1977.0,2007.1,1967.0,1996.1,1996.1,7952295
BHARTIARTL,2026-01-19 18:30:00,2018.0,2018.0,1977.1,1996.0,1996.0,6076838
SBIN,2026-01-22 18:30:00,1051.9,1053.0,1025.6,1029.5,1029.5,10917698
SBIN,2026-01-21 18:30:00,1035.0,1055.5,1034.05,1048.35,1048.35,12001641
SBIN,2026-01-20 18:30:00,1032.0,1040.6,1022.0,1028.65,1028.65,7408949
SBIN,2026-01-19 18:30:00,1039.75,1052.0,1033.05,1036.4,1036.4,8905718
ADANIENT,2026-01-22 18:30:00,2080.5,2082.5,1848.0,1864.2,1864.2,7492631
ADANIENT,2026-01-21 18:30:00,2055.9,2102.9,2051.0,2086.4,2086.4,942721
ADANIENT,2026-01-20 18:30:00,2056.5,2068.2,2004.1,2032.2,2032.2,1354644
ADANIENT,2026-01-19 18:30:00,2134.0,2139.9,2040.0,2055.1,2055.1,1160975
TMPV,2026-01-22 18:30:00,347.1,351.0,342.15,344.45,344.45,8354700
TMPV,2026-01-21 18:30:00,344.45,351.75,343.1,347.3,347.3,10714263
TMPV,2026-01-20 18:30:00,336.0,343.7,335.95,339.25,339.25,9873473
TMPV,2026-01-19 18:30:00,344.85,346.6,336.75,337.85,337.85,11541904
RELIANCE,2026-01-22 18:30:00,1401.8,1407.0,1381.0,1386.1,1386.1,9837802
RELIANCE,2026-01-21 18:30:00,1410.1,1419.5,1395.0,1402.5,1402.5,15721693
RELIANCE,2026-01-20 18:30:00,1389.5,1412.9,1373.0,1404.6,1404.6,17352720
RELIANCE,2026-01-19 18:30:00,1410.7,1416.0,1390.0,1394.0,1394.0,13189498
MUTHOOTFIN,2026-01-22 18:30:00,3931.2,3934.6,3796.7,3802.8,3802.8,481529
MUTHOOTFIN,2026-01-21 18:30:00,3932.0,3945.0,3754.3,3861.9,3861.9,731117
MUTHOOTFIN,2026-01-20 18:30:00,3934.5,4028.3,3897.8,3906.6,3906.6,1138006
MUTHOOTFIN,2026-01-19 18:30:00,3962.0,3962.0,3891.5,3930.4,3930.4,444231
BSE,2026-01-22 18:30:00,2722.0,2742.0,2677.9,2685.4,2685.4,2160443
BSE,2026-01-21 18:30:00,2678.7,2726.1,2661.1,2708.6,2708.6,3689628
BSE,2026-01-20 18:30:00,2638.7,2679.0,2597.0,2628.8,2628.8,3743082
BSE,2026-01-19 18:30:00,2732.0,2732.0,2640.0,2653.4,2653.4,3480325
ADANIGREEN,2026-01-22 18:30:00,909.0,909.0,765.0,772.8,772.8,22973223
ADANIGREEN,2026-01-21 18:30:00,894.0,916.4,889.1,904.3,904.3,1851769
ADANIGREEN,2026-01-20 18:30:00,885.5,892.6,868.0,878.7,878.7,2259912
ADANIGREEN,2026-01-19 18:30:00,914.1,927.0,878.0,883.2,883.2,2195862
HDFCBANK,2026-01-22 18:30:00,920.0,926.1,909.25,916.1,916.1,30985247
HDFCBANK,2026-01-21 18:30:00,928.0,928.3,913.2,918.7,918.7,44444755
HDFCBANK,2026-01-20 18:30:00,925.0,932.15,915.5,920.35,920.35,32766854
HDFCBANK,2026-01-19 18:30:00,929.3,934.5,919.6,931.2,931.2,36022727
MCX,2026-01-22 18:30:00,2337.0,2355.0,2272.0,2282.0,2282.0,2959911
MCX,2026-01-21 18:30:00,2375.0,2411.0,2245.0,2314.0,2314.0,4401399
MCX,2026-01-20 18:30:00,2380.0,2425.0,2306.0,2320.0,2320.0,3776728
MCX,2026-01-19 18:30:00,2450.0,2454.0,2342.0,2373.0,2373.0,4028731
INFY,2026-01-22 18:30:00,1667.2,1675.7,1662.2,1670.8,1670.8,5869137
INFY,2026-01-21 18:30:00,1666.0,1671.2,1653.8,1663.5,1663.5,6228892
INFY,2026-01-20 18:30:00,1651.0,1657.0,1631.2,1654.4,1654.4,6224582
INFY,2026-01-19 18:30:00,1673.0,1680.2,1652.9,1658.9,1658.9,6406503
ICICIBANK,2026-01-22 18:30:00,1340.5,1355.2,1335.7,1343.4,1343.4,14056524
ICICIBANK,2026-01-21 18:30:00,1355.1,1358.0,1338.0,1345.5,1345.5,17179765
ICICIBANK,2026-01-20 18:30:00,1367.5,1371.5,1339.5,1349.0,1349.0,21766068
ICICIBANK,2026-01-19 18:30:00,1374.7,1387.8,1371.5,1375.8,1375.8,15012785
HAL,2026-01-22 18:30:00,4375.0,4375.0,4294.4,4305.7,4305.7,704843
HAL,2026-01-21 18:30:00,4299.0,4367.0,4290.6,4353.2,4353.2,725419
HAL,2026-01-20 18:30:00,4315.0,4337.6,4235.0,4259.4,4259.4,1113913
HAL,2026-01-19 18:30:00,4504.3,4525.0,4327.0,4355.2,4355.2,1194605
ADANIPORTS,2026-01-22 18:30:00,1417.0,1417.0,1292.0,1308.4,1308.4,6380222
ADANIPORTS,2026-01-21 18:30:00,1400.0,1421.7,1388.5,1414.2,1414.2,1689638
ADANIPORTS,2026-01-20 18:30:00,1371.7,1390.4,1345.0,1378.6,1378.6,2141532
ADANIPORTS,2026-01-19 18:30:00,1409.0,1412.9,1359.6,1367.6,1367.6,1799611
DIXON,2026-01-22 18:30:00,10575.0,10664.0,10330.0,10360.0,10360.0,486607
DIXON,2026-01-21 18:30:00,10700.0,10717.0,10420.0,10512.0,10512.0,422087
DIXON,2026-01-20 18:30:00,10682.0,10790.0,10274.0,10517.0,10517.0,915631
DIXON,2026-01-19 18:30:00,11029.0,11144.0,10632.0,10682.0,10682.0,476078
TCS,2026-01-22 18:30:00,3190.3,3194.5,3152.0,3162.5,3162.5,2068857
TCS,2026-01-21 18:30:00,3150.0,3160.0,3122.3,3150.4,3150.4,2269827
TCS,2026-01-20 18:30:00,3100.0,3138.5,3082.0,3122.6,3122.6,2015150
TCS,2026-01-19 18:30:00,3151.6,3160.0,3091.1,3102.3,3102.3,4499273
KOTAKBANK,2026-01-22 18:30:00,429.0,429.8,420.4,422.8,422.8,10548118
KOTAKBANK,2026-01-21 18:30:00,423.8,429.8,420.3,426.0,426.0,10087657
KOTAKBANK,2026-01-20 18:30:00,422.1,425.5,416.4,421.6,421.6,16386060
KOTAKBANK,2026-01-19 18:30:00,428.0,431.0,422.5,423.8,423.8,18805991
TATASTEEL,2026-01-22 18:30:00,190.5,192.4,187.27,187.61,187.61,28492706
TATASTEEL,2026-01-21 18:30:00,185.89,189.99,185.79,189.1,189.1,35681682
TATASTEEL,2026-01-20 18:30:00,183.56,185.71,180.88,184.41,184.41,35037961
TATASTEEL,2026-01-19 18:30:00,188.27,190.0,183.03,183.56,183.56,20094927
UNITDSPR,2026-01-22 18:30:00,1354.0,1357.5,1327.0,1333.0,1333.0,1398884
UNITDSPR,2026-01-21 18:30:00,1319.5,1340.6,1312.5,1338.4,1338.4,1240014
UNITDSPR,2026-01-20 18:30:00,1285.0,1329.3,1276.0,1320.0,1320.0,2399345
UNITDSPR,2026-01-19 18:30:00,1323.5,1328.8,1313.0,1318.6,1318.6,1422810
ADANIENSOL,2026-01-22 18:30:00,925.0,925.0,803.1,812.7,812.7,7623697
ADANIENSOL,2026-01-21 18:30:00,904.2,932.9,904.2,924.8,924.8,979746
ADANIENSOL,2026-01-20 18:30:00,885.0,907.9,876.3,899.3,899.3,1645912
ADANIENSOL,2026-01-19 18:30:00,915.1,928.8,881.0,885.5,885.5,1936179
JSWSTEEL,2026-01-22 18:30:00,1193.3,1193.3,1164.8,1170.0,1170.0,2406992
JSWSTEEL,2026-01-21 18:30:00,1180.0,1192.0,1176.1,1184.4,1184.4,1428697
JSWSTEEL,2026-01-20 18:30:00,1163.5,1178.9,1159.6,1174.6,1174.6,1401954
JSWSTEEL,2026-01-19 18:30:00,1188.0,1195.0,1156.5,1160.0,1160.0,1106893
HINDALCO,2026-01-22 18:30:00,955.0,963.9,948.5,950.3,950.3,5958887
HINDALCO,2026-01-21 18:30:00,945.0,951.4,934.15,944.45,944.45,6165965
HINDALCO,2026-01-20 18:30:00,928.75,944.15,926.4,939.2,939.2,5590031
HINDALCO,2026-01-19 18:30:00,944.5,949.85,925.7,928.1,928.1,5709976
M&M,2026-01-22 18:30:00,3573.7,3596.0,3534.8,3543.4,3543.4,1922549
M&M,2026-01-21 18:30:00,3600.0,3620.0,3533.4,3573.7,3573.7,2107171
M&M,2026-01-20 18:30:00,3543.0,3586.7,3517.1,3553.3,3553.3,1587467
M&M,2026-01-19 18:30:00,3646.0,3677.5,3540.0,3557.5,3557.5,1753439
SHRIRAMFIN,2026-01-22 18:30:00,1010.0,1020.85,973.65,1003.55,1003.55,9023942
SHRIRAMFIN,2026-01-21 18:30:00,995.05,1009.7,986.1,1005.5,1005.5,7210572
SHRIRAMFIN,2026-01-20 18:30:00,982.55,997.5,972.55,986.0,986.0,7042588
SHRIRAMFIN,2026-01-19 18:30:00,1005.0,1008.05,983.0,987.5,987.5,6129218
BAJAJFINSV,2026-01-22 18:30:00,1993.1,1994.9,1943.1,1949.0,1949.0,1046873
BAJAJFINSV,2026-01-21 18:30:00,1969.8,1996.9,1965.0,1993.1,1993.1,1067186
BAJAJFINSV,2026-01-20 18:30:00,1964.9,1973.6,1936.6,1959.9,1959.9,894555
BAJAJFINSV,2026-01-19 18:30:00,2017.0,2018.3,1950.2,1958.7,1958.7,1572563
HINDPETRO,2026-01-22 18:30:00,430.0,431.7,413.75,414.85,414.85,6140298
HINDPETRO,2026-01-21 18:30:00,429.7,434.5,424.3,427.7,427.7,4751687
HINDPETRO,2026-01-20 18:30:00,440.0,442.15,428.0,429.05,429.05,5200234
HINDPETRO,2026-01-19 18:30:00,453.65,453.65,436.7,438.6,438.6,3948024
ATGL,2026-01-22 18:30:00,550.65,550.65,507.05,517.45,517.45,2182806
ATGL,2026-01-21 18:30:00,532.95,555.0,532.95,548.0,548.0,647552
ATGL,2026-01-20 18:30:00,534.95,537.8,522.8,528.15,528.15,650505
ATGL,2026-01-19 18:30:00,544.7,548.75,530.0,532.3,532.3,467312
GRASIM,2026-01-22 18:30:00,2789.9,2805.0,2752.5,2759.0,2759.0,606097
GRASIM,2026-01-21 18:30:00,2742.5,2799.0,2742.5,2787.6,2787.6,870158
GRASIM,2026-01-20 18:30:00,2718.9,2752.0,2708.3,2735.6,2735.6,939481
GRASIM,2026-01-19 18:30:00,2783.0,2790.8,2706.0,2713.6,2713.6,411054
LUPIN,2026-01-22 18:30:00,2167.0,2178.0,2130.3,2137.2,2137.2,578417
LUPIN,2026-01-21 18:30:00,2149.0,2188.7,2147.1,2163.2,2163.2,635760
LUPIN,2026-01-20 18:30:00,2168.3,2210.0,2132.0,2140.7,2140.7,1009184
LUPIN,2026-01-19 18:30:00,2177.1,2180.0,2152.8,2168.3,2168.3,873360
AXISBANK,2026-01-22 18:30:00,1297.0,1299.0,1248.0,1258.0,1258.0,8885549
AXISBANK,2026-01-21 18:30:00,1290.0,1298.9,1281.4,1294.8,1294.8,5949677
AXISBANK,2026-01-20 18:30:00,1290.0,1297.7,1267.4,1284.9,1284.9,3854702
AXISBANK,2026-01-19 18:30:00,1306.1,1310.9,1290.0,1293.5,1293.5,6268527
PERSISTENT,2026-01-22 18:30:00,6360.0,6360.0,6105.5,6155.0,6155.0,499112
PERSISTENT,2026-01-21 18:30:00,6336.0,6394.0,6176.0,6320.5,6320.5,455070
PERSISTENT,2026-01-20 18:30:00,6330.0,6392.0,6027.5,6242.0,6242.0,2130647
PERSISTENT,2026-01-19 18:30:00,6419.5,6491.0,6300.0,6342.5,6342.5,573688
BIOCON,2026-01-22 18:30:00,372.55,375.8,365.15,366.2,366.2,1896911
BIOCON,2026-01-21 18:30:00,365.0,374.3,365.0,373.0,373.0,1700808
BIOCON,2026-01-20 18:30:00,365.0,370.05,359.05,364.85,364.85,2608596
BIOCON,2026-01-19 18:30:00,375.0,376.05,365.0,366.85,366.85,9421803
TITAN,2026-01-22 18:30:00,4025.1,4063.3,3980.0,4021.8,4021.8,1015415
TITAN,2026-01-21 18:30:00,4099.0,4128.0,3980.8,4018.6,4018.6,818966
TITAN,2026-01-20 18:30:00,4075.5,4109.9,4053.5,4079.2,4079.2,552760
TITAN,2026-01-19 18:30:00,4155.0,4155.0,4064.3,4075.5,4075.5,586156
DRREDDY,2026-01-22 18:30:00,1230.0,1250.8,1225.0,1235.6,1235.6,3888860
DRREDDY,2026-01-21 18:30:00,1195.0,1225.0,1187.7,1217.5,1217.5,6464461
DRREDDY,2026-01-20 18:30:00,1170.0,1193.8,1148.4,1157.2,1157.2,2322066
DRREDDY,2026-01-19 18:30:00,1168.4,1192.8,1161.4,1166.7,1166.7,2790934
HUDCO,2026-01-22 18:30:00,207.25,207.74,193.96,195.96,195.96,7327876
HUDCO,2026-01-21 18:30:00,207.0,209.99,204.1,207.11,207.11,2896592
HUDCO,2026-01-20 18:30:00,206.0,207.6,201.3,203.14,203.14,4198595
HUDCO,2026-01-19 18:30:00,213.5,213.55,204.3,205.81,205.81,3255149
HCLTECH,2026-01-22 18:30:00,1712.7,1721.0,1698.8,1707.0,1707.0,1874357
HCLTECH,2026-01-21 18:30:00,1690.6,1709.0,1681.5,1703.1,1703.1,1853439
HCLTECH,2026-01-20 18:30:00,1687.6,1694.9,1668.9,1682.5,1682.5,1728435
HCLTECH,2026-01-19 18:30:00,1720.0,1720.0,1681.8,1687.3,1687.3,1739341
COFORGE,2026-01-22 18:30:00,1673.9,1710.0,1629.4,1636.4,1636.4,3575484
COFORGE,2026-01-21 18:30:00,1681.0,1740.2,1674.0,1687.7,1687.7,2134697
COFORGE,2026-01-20 18:30:00,1693.7,1694.5,1593.0,1669.2,1669.2,3976423
