symbol,date,open,high,low,close,adj_close,volume
VEDL,2022-05-27 00:00:00,316.0,319.05,303.45,307.85,307.85,"1,10,35,458"
VEDL,2022-05-26 00:00:00,306.8,314.3,294.0,313.05,313.05,"1,11,17,630"
VEDL,2022-05-25 00:00:00,307.05,310.45,300.1,304.85,304.85,"1,09,71,726"
VEDL,2022-05-24 00:00:00,307.65,316.9,303.15,305.5,305.5,"1,19,23,967"
VEDL,2022-05-23 00:00:00,307.0,311.5,292.7,305.65,305.65,"1,84,49,758"
ADANIPOWER,2022-05-27 00:00:00,325.3,330.0,315.0,328.1,328.1,"2,51,97,002"
ADANIPOWER,2022-05-26 00:00:00,308.9,314.3,286.1,314.3,314.3,"3,03,33,101"
ADANIPOWER,2022-05-25 00:00:00,309.1,318.8,295.95,299.35,299.35,"3,16,01,250"
ADANIPOWER,2022-05-24 00:00:00,340.95,343.9,311.5,311.5,311.5,"3,94,27,567"
ADANIPOWER,2022-05-23 00:00:00,321.65,327.85,318.35,327.85,327.85,"1,29,91,259"
IDEA,2022-05-27 00:00:00,8.8,9.05,8.75,8.9,8.9,"13,37,14,106"
IDEA,2022-05-26 00:00:00,8.9,9.0,8.4,8.6,8.6,"17,54,21,842"
IDEA,2022-05-25 00:00:00,9.05,9.1,8.65,8.75,8.75,"9,44,20,521"
IDEA,2022-05-24 00:00:00,9.05,9.1,8.85,9.0,9.0,"12,07,31,587"
IDEA,2022-05-23 00:00:00,9.15,9.25,9.0,9.05,9.05,"13,09,48,873"
BHEL,2022-05-27 00:00:00,50.5,51.35,50.15,51.15,51.15,"2,26,24,272"
BHEL,2022-05-26 00:00:00,49.45,50.5,47.7,50.2,50.2,"3,15,16,573"
BHEL,2022-05-25 00:00:00,50.75,50.8,48.9,49.3,49.3,"2,07,52,902"
BHEL,2022-05-24 00:00:00,51.4,51.5,50.05,50.4,50.4,"2,35,18,464"
BHEL,2022-05-23 00:00:00,55.2,55.8,50.85,51.1,51.1,"6,20,79,730"
HINDZINC,2022-05-27 00:00:00,302.4,303.0,295.4,296.3,296.3,"4,39,604"
HINDZINC,2022-05-26 00:00:00,309.5,315.0,295.1,299.2,299.2,"17,52,641"
HINDZINC,2022-05-25 00:00:00,295.5,318.0,290.2,304.5,304.5,"59,49,768"
HINDZINC,2022-05-24 00:00:00,300.0,304.95,292.3,295.4,295.4,"3,65,786"
HINDZINC,2022-05-23 00:00:00,292.0,300.0,286.2,299.25,299.25,"7,41,139"
APOLLOTYRE,2022-05-27 00:00:00,216.0,217.7,212.25,215.15,215.15,"18,47,098"
APOLLOTYRE,2022-05-26 00:00:00,213.2,214.75,207.0,213.5,213.5,"31,68,312"
APOLLOTYRE,2022-05-25 00:00:00,217.6,218.95,211.9,212.8,212.8,"18,89,645"
APOLLOTYRE,2022-05-24 00:00:00,218.5,220.2,215.35,216.4,216.4,"17,96,489"
APOLLOTYRE,2022-05-23 00:00:00,218.4,224.5,217.0,218.85,218.85,"46,56,426"
CANBK,2022-05-27 00:00:00,198.6,202.05,196.1,198.05,198.05,"99,30,278"
CANBK,2022-05-26 00:00:00,188.0,197.5,183.7,195.8,195.8,"1,27,23,469"
CANBK,2022-05-25 00:00:00,191.65,195.4,185.55,186.25,186.25,"1,06,98,205"
CANBK,2022-05-24 00:00:00,191.65,194.7,189.2,189.75,189.75,"96,10,924"
CANBK,2022-05-23 00:00:00,196.0,197.5,190.1,190.65,190.65,"1,14,94,345"
SAIL,2022-05-27 00:00:00,74.45,74.6,73.0,74.2,74.2,"3,51,22,761"
SAIL,2022-05-26 00:00:00,72.0,74.35,69.5,73.65,73.65,"6,61,87,950"
SAIL,2022-05-25 00:00:00,75.0,75.05,71.0,71.15,71.15,"5,54,16,336"
SAIL,2022-05-24 00:00:00,74.35,75.7,73.35,74.25,74.25,"6,00,64,633"
SAIL,2022-05-23 00:00:00,76.7,76.7,71.7,73.95,73.95,"11,35,85,736"
COALINDIA,2022-05-27 00:00:00,184.5,188.65,180.5,181.85,181.85,"1,64,08,080"
COALINDIA,2022-05-26 00:00:00,183.95,186.0,177.75,183.25,183.25,"2,31,40,556"
COALINDIA,2022-05-25 00:00:00,184.2,185.55,180.05,180.7,180.7,"79,26,434"
COALINDIA,2022-05-24 00:00:00,183.45,186.75,181.2,182.35,182.35,"85,72,565"
COALINDIA,2022-05-23 00:00:00,185.95,186.75,182.4,184.3,184.3,"77,94,071"
NLCINDIA,2022-05-27 00:00:00,78.45,78.65,76.6,77.6,77.6,"38,88,101"
NLCINDIA,2022-05-26 00:00:00,74.3,78.25,72.55,77.35,77.35,"60,03,266"
NLCINDIA,2022-05-25 00:00:00,79.55,80.5,72.4,73.6,73.6,"52,20,631"
NLCINDIA,2022-05-24 00:00:00,82.1,82.55,78.1,78.85,78.85,"37,46,514"
NLCINDIA,2022-05-23 00:00:00,83.55,85.5,80.65,81.5,81.5,"80,94,756"
ETERNAL,2022-05-27 00:00:00,63.0,63.0,61.5,62.05,62.05,"3,20,64,280"
ETERNAL,2022-05-26 00:00:00,61.0,62.5,59.6,60.45,60.45,"4,65,56,399"
ETERNAL,2022-05-25 00:00:00,65.7,66.9,60.65,62.3,62.3,"10,44,46,924"
ETERNAL,2022-05-24 00:00:00,57.95,67.6,57.9,64.95,64.95,"19,35,77,787"
ETERNAL,2022-05-23 00:00:00,58.7,60.5,56.6,57.05,57.05,"3,68,30,591"
ASHOKLEY,2022-05-27 00:00:00,138.9,141.5,137.05,140.3,140.3,"1,30,06,899"
ASHOKLEY,2022-05-26 00:00:00,139.5,140.15,136.2,137.4,137.4,"2,03,73,228"
ASHOKLEY,2022-05-25 00:00:00,142.25,143.0,138.35,139.05,139.05,"2,62,38,449"
ASHOKLEY,2022-05-24 00:00:00,138.0,142.0,137.0,141.2,141.2,"3,34,08,702"
ASHOKLEY,2022-05-23 00:00:00,137.0,140.4,135.4,135.8,135.8,"4,98,99,277"
SUZLON,2022-05-27 00:00:00,7.85,7.95,7.55,7.7,7.7,"4,62,94,188"
SUZLON,2022-05-26 00:00:00,8.05,8.2,7.85,7.85,7.85,"9,08,46,063"
SUZLON,2022-05-25 00:00:00,9.15,9.2,8.65,8.7,8.7,"3,58,93,663"
SUZLON,2022-05-24 00:00:00,9.05,9.3,8.95,9.05,9.05,"2,25,72,116"
SUZLON,2022-05-23 00:00:00,9.25,9.3,9.0,9.05,9.05,"2,03,33,451"
ONGC,2022-05-27 00:00:00,155.0,155.5,141.1,143.8,143.8,"5,24,69,252"
ONGC,2022-05-26 00:00:00,152.8,153.3,148.1,151.9,151.9,"1,28,24,105"
ONGC,2022-05-25 00:00:00,152.9,153.25,147.6,152.6,152.6,"1,93,66,472"
ONGC,2022-05-24 00:00:00,157.4,157.75,150.15,150.65,150.65,"1,91,41,394"
ONGC,2022-05-23 00:00:00,161.75,164.2,154.65,155.1,155.1,"1,80,29,557"
INDUSTOWER,2022-05-27 00:00:00,205.0,207.95,199.3,200.45,200.45,"41,16,593"
INDUSTOWER,2022-05-26 00:00:00,199.95,204.5,197.75,203.25,203.25,"31,59,956"
