symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2023-01-08 18:30:00,802.7,821.5,801.05,819.4,819.4,4340729
BHARTIARTL,2023-01-05 18:30:00,807.55,812.25,792.0,796.0,796.0,3199618
BHARTIARTL,2023-01-04 18:30:00,825.0,825.0,803.75,807.1,807.1,5297349
BHARTIARTL,2023-01-03 18:30:00,818.95,820.45,806.2,811.8,811.8,2970216
BHARTIARTL,2023-01-02 18:30:00,810.35,818.8,808.5,817.6,817.6,1717603
SBIN,2023-01-08 18:30:00,605.0,609.0,600.1,607.7,607.7,8878905
SBIN,2023-01-05 18:30:00,607.4,607.45,597.0,600.65,600.65,7972036
SBIN,2023-01-04 18:30:00,607.0,611.6,601.95,605.1,605.1,8241475
SBIN,2023-01-03 18:30:00,611.85,614.95,604.0,605.2,605.2,7011191
SBIN,2023-01-02 18:30:00,614.5,616.6,610.0,612.4,612.4,6818062
ADANIENT,2023-01-08 18:30:00,3843.0,3880.0,3811.25,3855.3,3855.3,753981
ADANIENT,2023-01-05 18:30:00,3829.0,3868.25,3797.05,3824.25,3824.25,912159
ADANIENT,2023-01-04 18:30:00,3827.05,3842.4,3756.9,3829.8,3829.8,997006
ADANIENT,2023-01-03 18:30:00,3839.0,3874.95,3803.6,3827.05,3827.05,1028377
ADANIENT,2023-01-02 18:30:00,3841.9,3852.85,3791.0,3830.95,3830.95,799905
TMPV,2023-01-08 18:30:00,386.35,392.7,385.0,389.45,389.45,14693099
TMPV,2023-01-05 18:30:00,386.1,388.4,381.0,382.0,382.0,8715469
TMPV,2023-01-04 18:30:00,387.9,388.75,382.5,386.9,386.9,10443908
TMPV,2023-01-03 18:30:00,394.8,394.8,385.0,385.6,385.6,16121049
TMPV,2023-01-02 18:30:00,396.0,398.35,393.0,393.9,393.9,9431220
RELIANCE,2023-01-08 18:30:00,2545.3,2602.0,2543.35,2596.8,2596.8,4948549
RELIANCE,2023-01-05 18:30:00,2526.65,2547.95,2518.3,2536.9,2536.9,2930338
RELIANCE,2023-01-04 18:30:00,2523.5,2536.4,2504.0,2514.05,2514.05,6293519
RELIANCE,2023-01-03 18:30:00,2557.0,2561.05,2514.0,2518.55,2518.55,4275746
RELIANCE,2023-01-02 18:30:00,2565.05,2573.0,2547.8,2557.05,2557.05,3534596
MUTHOOTFIN,2023-01-08 18:30:00,1074.15,1086.1,1073.0,1076.85,1076.85,615045
