symbol,date,open,high,low,close,adj_close,volume
VEDL,2017-05-05 00:00:00,229.95,229.95,217.75,223.75,223.75,"2,44,29,681"
VEDL,2017-05-04 00:00:00,240.0,240.1,231.35,232.5,232.5,"1,18,22,111"
VEDL,2017-05-03 00:00:00,241.85,243.75,238.5,240.1,240.1,"74,15,375"
VEDL,2017-05-02 00:00:00,246.6,248.45,239.3,241.85,241.85,"1,00,19,177"
ADANIPOWER,2017-05-05 00:00:00,30.65,30.65,29.8,29.95,29.95,"1,03,00,925"
ADANIPOWER,2017-05-04 00:00:00,31.1,31.2,30.6,30.65,30.65,"66,90,276"
ADANIPOWER,2017-05-03 00:00:00,32.45,32.65,30.65,30.95,30.95,"1,80,82,157"
ADANIPOWER,2017-05-02 00:00:00,33.3,33.35,32.3,32.5,32.5,"82,34,086"
IDEA,2017-05-05 00:00:00,82.65,82.75,81.2,82.0,82.0,"69,60,368"
IDEA,2017-05-04 00:00:00,84.0,84.5,81.95,83.35,83.35,"44,25,078"
IDEA,2017-05-03 00:00:00,85.35,85.4,83.3,83.8,83.8,"54,92,181"
IDEA,2017-05-02 00:00:00,86.0,86.2,84.5,84.7,84.7,"47,31,039"
BHEL,2017-05-05 00:00:00,174.85,175.45,171.4,172.8,172.8,"39,22,392"
BHEL,2017-05-04 00:00:00,175.0,175.8,172.45,174.65,174.65,"27,27,980"
BHEL,2017-05-03 00:00:00,176.4,177.4,173.1,173.8,173.8,"32,96,878"
BHEL,2017-05-02 00:00:00,176.65,177.5,174.15,175.5,175.5,"25,65,265"
HINDZINC,2017-05-05 00:00:00,254.0,258.0,249.1,250.35,250.35,"37,85,011"
HINDZINC,2017-05-04 00:00:00,265.5,265.6,260.0,260.75,260.75,"17,04,519"
HINDZINC,2017-05-03 00:00:00,269.0,270.35,262.5,264.8,264.8,"14,16,611"
HINDZINC,2017-05-02 00:00:00,268.9,271.75,268.0,268.8,268.8,"14,75,556"
APOLLOTYRE,2017-05-05 00:00:00,242.5,247.45,239.5,245.9,245.9,"50,50,129"
APOLLOTYRE,2017-05-04 00:00:00,245.1,250.2,241.1,242.8,242.8,"31,74,956"
