symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2025-08-31 18:30:00,1889.0,1904.8,1884.2,1900.6,1900.6,3421488
BHARTIARTL,2025-08-28 18:30:00,1872.5,1900.1,1872.5,1888.8,1888.8,4339042
BHARTIARTL,2025-08-27 18:30:00,1893.0,1899.8,1878.2,1881.1,1881.1,5494113
BHARTIARTL,2025-08-25 18:30:00,1922.1,1925.8,1896.2,1904.7,1904.7,5984656
SBIN,2025-08-31 18:30:00,803.1,808.3,802.65,806.05,806.05,5619805
SBIN,2025-08-28 18:30:00,800.7,806.7,798.5,802.5,802.5,6861440
SBIN,2025-08-27 18:30:00,810.0,810.0,810.0,801.95,801.95,3
SBIN,2025-08-27 18:30:00,807.25,811.0,800.65,801.95,801.95,7898436
SBIN,2025-08-25 18:30:00,814.85,815.85,806.75,807.85,807.85,6997817
ADANIENT,2025-08-31 18:30:00,2259.0,2288.0,2252.1,2284.2,2284.2,425639
ADANIENT,2025-08-28 18:30:00,2283.0,2289.7,2240.0,2244.7,2244.7,795699
ADANIENT,2025-08-27 18:30:00,2271.9,2327.9,2255.0,2275.2,2275.2,907868
ADANIENT,2025-08-25 18:30:00,2304.0,2309.3,2249.4,2272.0,2272.0,1071550
TMPV,2025-08-31 18:30:00,671.3,691.5,670.55,690.15,690.15,7644947
TMPV,2025-08-28 18:30:00,675.45,681.15,668.0,669.0,669.0,8201917
TMPV,2025-08-27 18:30:00,679.9,680.9,667.8,675.45,675.45,9466045
TMPV,2025-08-25 18:30:00,686.8,686.95,678.3,681.65,681.65,7496633
RELIANCE,2025-08-31 18:30:00,1356.0,1363.2,1340.6,1353.9,1353.9,11232238
RELIANCE,2025-08-28 18:30:00,1381.1,1403.5,1350.0,1357.2,1357.2,18758842
RELIANCE,2025-08-27 18:30:00,1389.9,1392.2,1366.5,1385.9,1385.9,13161813
RELIANCE,2025-08-25 18:30:00,1408.0,1410.0,1381.6,1384.9,1384.9,12145259
MUTHOOTFIN,2025-08-31 18:30:00,2664.1,2727.0,2651.2,2710.0,2710.0,1352162
MUTHOOTFIN,2025-08-28 18:30:00,2650.0,2676.0,2604.2,2637.8,2637.8,494826
MUTHOOTFIN,2025-08-27 18:30:00,2694.4,2694.4,2635.2,2644.8,2644.8,408579
MUTHOOTFIN,2025-08-25 18:30:00,2693.7,2699.1,2659.2,2673.1,2673.1,383881
