symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2020-03-29 18:30:00,443.85,449.3,428.0,431.05,431.05,10022553
BHARTIARTL,2020-03-26 18:30:00,470.7,474.8,437.5,448.95,448.95,16076582
BHARTIARTL,2020-03-25 18:30:00,426.5,493.45,420.25,470.7,470.7,21891560
BHARTIARTL,2020-03-24 18:30:00,406.55,438.25,405.6,429.1,429.1,13833486
BHARTIARTL,2020-03-23 18:30:00,410.9,437.85,400.15,404.05,404.05,12716346
SBIN,2020-03-29 18:30:00,190.0,195.0,186.25,186.9,186.9,60083237
SBIN,2020-03-29 18:30:00,10350.0,10423.0,10252.1,10398.27,10398.27,118
SBIN,2020-03-29 18:30:00,10458.14,10599.0,10458.14,10573.17,10573.17,993
SBIN,2020-03-29 18:30:00,10380.0,10400.0,10295.0,10332.46,10332.46,296
SBIN,2020-03-26 18:30:00,202.0,211.9,195.0,195.95,195.95,114746995
SBIN,2020-03-26 18:30:00,10397.0,10490.0,10361.0,10458.14,10458.14,778
SBIN,2020-03-26 18:30:00,10300.0,10400.0,10300.0,10400.0,10400.0,8
SBIN,2020-03-26 18:30:00,10199.0,10390.0,10199.0,10350.0,10350.0,204
SBIN,2020-03-25 18:30:00,10183.0,10183.0,10183.0,10183.0,10183.0,1
SBIN,2020-03-25 18:30:00,10351.0,10405.0,10351.0,10372.88,10372.88,735
SBIN,2020-03-25 18:30:00,10199.0,10199.0,10121.0,10173.48,10173.48,187
SBIN,2020-03-25 18:30:00,191.55,201.0,185.1,192.75,192.75,107260674
SBIN,2020-03-24 18:30:00,178.0,195.25,176.45,189.9,189.9,71568237
SBIN,2020-03-24 18:30:00,10399.0,10399.0,10122.1,10140.0,10140.0,19
SBIN,2020-03-24 18:30:00,10350.0,10390.0,10330.0,10348.41,10348.41,892
SBIN,2020-03-24 18:30:00,10425.0,10445.0,10060.05,10365.0,10365.0,30
SBIN,2020-03-23 18:30:00,10180.0,10180.0,10180.0,10180.0,10180.0,2
SBIN,2020-03-23 18:30:00,10332.0,10400.0,10330.0,10333.56,10333.56,1390
SBIN,2020-03-23 18:30:00,10171.0,10200.0,10120.0,10190.0,10190.0,143
SBIN,2020-03-23 18:30:00,190.95,191.95,173.55,183.2,183.2,67492010
ADANIENT,2020-03-29 18:30:00,124.0,129.8,121.0,128.7,128.7,2397602
ADANIENT,2020-03-26 18:30:00,146.0,151.0,126.25,128.0,128.0,4378366
ADANIENT,2020-03-25 18:30:00,135.0,152.0,132.05,140.25,140.25,7980255
ADANIENT,2020-03-24 18:30:00,126.0,134.9,125.0,132.3,132.3,2771318
ADANIENT,2020-03-23 18:30:00,125.0,132.95,116.4,130.35,130.35,5125923
TMPV,2020-03-29 18:30:00,68.8,70.0,67.25,68.15,68.15,35278179
TMPV,2020-03-26 18:30:00,72.05,75.9,69.35,70.7,70.7,58824452
TMPV,2020-03-25 18:30:00,71.45,73.5,68.3,70.8,70.8,63822905
TMPV,2020-03-24 18:30:00,67.75,71.7,67.25,70.25,70.25,57716006
TMPV,2020-03-23 18:30:00,69.9,71.5,63.5,68.55,68.55,49553202
RELIANCE,2020-03-29 18:30:00,1040.6,1074.8,1020.0,1030.45,1030.45,13820286
RELIANCE,2020-03-26 18:30:00,1095.0,1107.3,1046.2,1065.6,1065.6,19044644
RELIANCE,2020-03-25 18:30:00,1095.8,1116.9,1042.35,1066.2,1066.2,20912934
RELIANCE,2020-03-24 18:30:00,963.8,1151.55,963.25,1082.25,1082.25,33433126
