symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2025-04-20 18:30:00,1898.4,1904.3,1868.6,1883.4,1883.4,3501123
BHARTIARTL,2025-04-16 18:30:00,1834.0,1897.7,1825.7,1889.1,1889.1,10894325
BHARTIARTL,2025-04-15 18:30:00,1802.4,1826.5,1794.1,1822.6,1822.6,6180958
BHARTIARTL,2025-04-14 18:30:00,1808.2,1820.0,1781.1,1798.8,1798.8,10313411
SBIN,2025-04-20 18:30:00,803.0,824.35,801.4,816.7,816.7,16398507
SBIN,2025-04-16 18:30:00,772.0,801.0,767.15,797.45,797.45,27034818
SBIN,2025-04-15 18:30:00,763.5,774.75,760.5,771.75,771.75,12536694
SBIN,2025-04-14 18:30:00,770.0,770.7,757.1,763.5,763.5,7859090
ADANIENT,2025-04-20 18:30:00,2426.1,2464.9,2395.5,2442.7,2442.7,782559
ADANIENT,2025-04-16 18:30:00,2418.0,2448.6,2392.0,2418.1,2418.1,1054797
ADANIENT,2025-04-15 18:30:00,2400.0,2428.0,2382.9,2415.6,2415.6,889949
ADANIENT,2025-04-14 18:30:00,2375.0,2440.0,2359.0,2418.2,2418.2,1145125
TMPV,2025-04-20 18:30:00,624.6,635.75,620.2,630.05,630.05,12785568
TMPV,2025-04-16 18:30:00,616.05,627.0,608.25,621.55,621.55,14342652
TMPV,2025-04-15 18:30:00,625.0,625.0,613.6,616.05,616.05,12318376
TMPV,2025-04-14 18:30:00,614.0,628.3,612.65,622.2,622.2,19722072
RELIANCE,2025-04-20 18:30:00,1270.0,1300.9,1267.0,1295.5,1295.5,10429964
RELIANCE,2025-04-16 18:30:00,1240.2,1280.2,1227.6,1274.5,1274.5,15398401
RELIANCE,2025-04-15 18:30:00,1234.1,1240.9,1229.0,1239.3,1239.3,8248464
RELIANCE,2025-04-14 18:30:00,1251.0,1251.0,1237.1,1240.1,1240.1,13378535
MUTHOOTFIN,2025-04-20 18:30:00,2134.9,2211.0,2134.9,2203.6,2203.6,1434482
MUTHOOTFIN,2025-04-16 18:30:00,2081.0,2136.0,2080.9,2111.6,2111.6,1289031
MUTHOOTFIN,2025-04-15 18:30:00,2060.0,2090.0,2042.1,2080.7,2080.7,947851
MUTHOOTFIN,2025-04-14 18:30:00,2045.0,2060.0,2005.5,2051.0,2051.0,1955402
BSE,2025-04-20 18:30:00,5981.0,6313.0,5970.0,6285.0,6285.0,4085227
BSE,2025-04-16 18:30:00,5909.0,6040.0,5865.5,5931.0,5931.0,2584490
BSE,2025-04-15 18:30:00,5987.0,5998.0,5860.0,5930.5,5930.5,2221360
BSE,2025-04-14 18:30:00,5751.0,5975.0,5721.0,5958.0,5958.0,2638031
ADANIGREEN,2025-04-20 18:30:00,954.7,966.6,944.0,956.25,956.25,2149379
ADANIGREEN,2025-04-16 18:30:00,945.6,972.0,940.0,947.15,947.15,2905274
ADANIGREEN,2025-04-15 18:30:00,936.95,955.95,931.5,945.6,945.6,2203548
ADANIGREEN,2025-04-14 18:30:00,910.0,942.0,901.3,936.65,936.65,2944940
HDFCBANK,2025-04-20 18:30:00,1924.0,1950.7,1910.0,1927.1,1927.1,17123649
HDFCBANK,2025-04-16 18:30:00,1882.0,1919.7,1876.7,1906.7,1906.7,17851542
HDFCBANK,2025-04-15 18:30:00,1883.8,1883.8,1860.5,1878.0,1878.0,9568410
HDFCBANK,2025-04-14 18:30:00,1865.0,1876.8,1855.0,1864.9,1864.9,24649172
MCX,2025-04-20 18:30:00,5700.0,5958.0,5648.0,5942.0,5942.0,732240
MCX,2025-04-16 18:30:00,5628.0,5741.0,5603.5,5668.5,5668.5,530485
MCX,2025-04-15 18:30:00,5600.0,5664.0,5538.5,5628.0,5628.0,386275
MCX,2025-04-14 18:30:00,5550.0,5617.0,5476.5,5581.5,5581.5,469793
INFY,2025-04-20 18:30:00,1410.0,1471.8,1410.0,1451.0,1451.0,15648970
INFY,2025-04-16 18:30:00,1398.0,1429.8,1378.3,1419.5,1419.5,14264227
INFY,2025-04-15 18:30:00,1425.0,1427.5,1396.8,1413.1,1413.1,12022740
INFY,2025-04-14 18:30:00,1445.6,1447.7,1409.0,1426.0,1426.0,10178530
ICICIBANK,2025-04-20 18:30:00,1436.0,1436.0,1404.7,1409.8,1409.8,16882426
ICICIBANK,2025-04-16 18:30:00,1362.0,1408.9,1360.1,1406.7,1406.7,17490424
ICICIBANK,2025-04-15 18:30:00,1357.0,1359.7,1342.9,1356.4,1356.4,14039073
ICICIBANK,2025-04-14 18:30:00,1351.0,1354.3,1336.2,1350.2,1350.2,15202603
