week_date,portfolio_nav,weekly_return_pct,cumulative_return_pct,benchmark_level,benchmark_weekly_return_pct,benchmark_cumulative_return_pct,active_return_weekly_pct,active_return_cumulative_pct,num_holdings,cash_pct,num_buys,num_sells,turnover_pct,transaction_cost_inr
2016-05-27,25000.0,,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-06-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-06-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-06-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-06-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-07-01,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-07-08,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-07-15,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-07-22,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-07-29,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-08-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-08-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-08-19,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-08-26,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-09-02,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-09-09,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-09-16,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-09-23,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-09-30,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-10-07,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-10-14,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-10-21,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-10-28,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-11-04,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-11-11,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-11-18,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-11-25,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-12-02,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-12-09,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-12-16,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-12-23,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2016-12-30,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-01-06,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-01-13,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-01-20,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-01-27,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-02-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-02-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-02-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-02-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-03-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-03-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-03-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-03-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-03-31,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-04-07,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-04-14,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-04-21,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-04-28,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-05-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2017-05-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
