date,portfolio_nav,portfolio_weekly_return_pct,portfolio_inception_return_pct,portfolio_cagr_pct,benchmark_level,benchmark_weekly_return_pct,benchmark_inception_return_pct,benchmark_cagr_pct,active_return_weekly_pct,active_return_inception_pct,active_return_cagr_pct,benchmark_source,weeks_since_inception
2026-05-01,25000.0,,0.0,,,,,,,,,,1
2026-05-19,25000.0,,0.0,0.0,nan,,,,,,,price_index_nse,1
